"year","month","day","day_of_week","airline","flight_number","tail_number","origin_airport","destination_airport","scheduled_departure","departure_time","departure_delay","taxi_out","wheels_off","scheduled_time","elapsed_time","air_time","distance","wheels_on","taxi_in","scheduled_arrival","arrival_time","arrival_delay","diverted","cancelled","cancellation_reason","air_system_delay","security_delay","airline_delay","late_aircraft_delay","weather_delay"
"2015","12","1","2","DL","1426","N820DN","SFO","MSP","5","4","-1","14","18","215","212","196","1589","534","2","540","536","-4","0","0","",,,,,
"2015","12","1","2","UA","680","N38473","SFO","ORD","14","10","-4","11","21","258","232","216","1846","557","5","632","602","-30","0","0","",,,,,
"2015","12","1","2","AA","883","N199UW","SFO","CLT","15","13","-2","15","28","290","297","264","2296","752","18","805","810","5","0","0","",,,,,
"2015","12","1","2","AA","1645","N3CCAA","SFO","MIA","30","40","10","16","56","320","301","274","2585","830","11","850","841","-9","0","0","",,,,,
"2015","12","1","2","UA","1200","N456UA","SFO","IAH","45","101","16","13","114","214","192","175","1635","609","4","619","613","-6","0","0","",,,,,
"2015","12","1","2","B6","1716","N946JB","SFO","JFK","50","42","-8","12","54","318","309","288","2586","842","9","908","851","-17","0","0","",,,,,
"2015","12","1","2","AA","1051","N877AA","SFO","DFW","59","59","0","17","116","196","197","170","1464","606","10","615","616","1","0","0","",,,,,
"2015","12","1","2","AA","82","N3CVAA","SFO","ORD","500","507","7","15","522","257","251","224","1846","1106","12","1117","1118","1","0","0","",,,,,
"2015","12","1","2","AA","1454","N858AA","SFO","DFW","515","508","-7","12","520","210","191","171","1464","1011","8","1045","1019","-26","0","0","",,,,,
"2015","12","1","2","UA","756","N69818","SFO","DEN","530","540","10","16","556","153","150","126","967","902","8","903","910","7","0","0","",,,,,
"2015","12","1","2","WN","2416","N729SW","SFO","LAS","530","529","-1","7","536","80","75","60","414","636","8","650","644","-6","0","0","",,,,,
"2015","12","1","2","WN","2425","N709SW","SFO","PHX","530","528","-2","7","535","105","93","83","651","758","3","815","801","-14","0","0","",,,,,
"2015","12","1","2","WN","2828","N366SW","SFO","DEN","540","539","-1","14","553","150","155","134","967","907","7","910","914","4","0","0","",,,,,
"2015","12","1","2","UA","1474","N67846","SFO","IAH","555","549","-6","12","601","235","209","187","1635","1108","10","1150","1118","-32","0","0","",,,,,
"2015","12","1","2","F9","660","N207FR","SFO","DEN","600","555","-5","18","613","150","150","124","967","917","8","930","925","-5","0","0","",,,,,
"2015","12","1","2","UA","212","N510UA","SFO","EWR","600","556","-4","23","619","322","327","298","2565","1417","6","1422","1423","1","0","0","",,,,,
"2015","12","1","2","UA","261","N486UA","SFO","LAX","600","557","-3","13","610","96","75","51","337","701","11","736","712","-24","0","0","",,,,,
"2015","12","1","2","UA","734","N12238","SFO","ORD","600","559","-1","23","622","258","254","219","1846","1201","12","1218","1213","-5","0","0","",,,,,
"2015","12","1","2","AA","1985","N189UW","SFO","PHX","600","547","-13","11","558","118","99","84","651","822","4","858","826","-32","0","0","",,,,,
"2015","12","1","2","AA","488","N579UW","SFO","CLT","600","557","-3","14","611","290","281","260","2296","1331","7","1350","1338","-12","0","0","",,,,,
"2015","12","1","2","B6","735","N658JB","SFO","LGB","600","551","-9","12","603","81","76","60","354","703","4","721","707","-14","0","0","",,,,,
"2015","12","1","2","DL","1140","N822DN","SFO","ATL","600","558","-2","17","615","271","256","231","2139","1306","8","1331","1314","-17","0","0","",,,,,
