day,airline,origin_airport,stopover_airport,destination_airport,departure_delay,stopover_arrival_delay,stopover_departure_delay,destination_arrival_delay
7,AA,SFO,LAX,LAX,-7,-15,-5,-15
7,AA,SFO,LAX,LAX,-7,4,-6,4
7,AA,SFO,LAX,LAX,-5,6,3,6
7,AA,SFO,LAX,LAX,-5,-15,-5,-15
9,AA,SFO,PHX,PHX,-4,-3,-4,-3
9,AA,SFO,PHX,PHX,-12,6,-1,6
9,AA,SFO,PHX,PHX,-7,13,10,13
9,AA,SFO,PHX,PHX,-7,-1,2,-1
11,AA,SFO,DFW,DFW,-3,3,4,3
21,AA,SFO,CLT,CLT,18,3,0,3
22,B6,SFO,BOS,BOS,-3,20,31,20
22,B6,SFO,BOS,BOS,28,-7,0,-7
25,B6,SFO,FLL,FLL,-2,-17,-9,-17
25,B6,SFO,FLL,FLL,-3,-15,-2,-15
7,AA,SFO,CLT,CLT,-11,41,30,41
11,B6,SFO,BOS,BOS,-9,-8,-1,-8
11,B6,SFO,BOS,BOS,9,-3,-6,-3
11,B6,SFO,BOS,BOS,10,13,12,13
11,B6,SFO,BOS,BOS,10,19,-2,19
12,DL,SFO,DTW,DTW,-6,-17,0,-17
2,DL,SFO,LAX,LAX,-5,7,15,7
2,DL,SFO,LAX,LAX,-2,7,15,7
2,DL,SFO,LAX,LAX,26,7,-2,7
2,DL,SFO,LAX,LAX,-3,-4,-1,-4
2,DL,SFO,LAX,LAX,133,-1,4,-1
2,DL,SFO,LAX,LAX,28,-6,-2,-6
4,VX,SFO,LAS,LAS,12,3,-8,3
22,AA,SFO,CLT,CLT,209,44,33,44
22,AA,SFO,CLT,CLT,169,-4,6,-4
22,AA,SFO,CLT,CLT,32,-4,6,-4
22,AA,SFO,CLT,CLT,19,11,7,11
23,AS,SFO,SEA,SEA,1,2,32,2
29,B6,SFO,LAS,LAS,2,-8,6,-8
29,B6,SFO,FLL,FLL,-7,-5,11,-5
29,B6,SFO,FLL,FLL,-7,206,226,206
29,B6,SFO,LAS,LAS,10,-15,6,-15
29,B6,SFO,FLL,FLL,25,1,-6,1
29,B6,SFO,FLL,FLL,25,-4,-4,-4
29,DL,SFO,ATL,ATL,7,-13,8,-13
29,DL,SFO,ATL,ATL,16,-5,13,-5
29,DL,SFO,ATL,ATL,6,-5,13,-5
29,DL,SFO,ATL,ATL,1,-3,11,-3
30,DL,SFO,LAX,LAX,3,-27,7,-27
30,DL,SFO,LAX,LAX,0,-36,0,-36
30,DL,SFO,LAX,LAX,72,-20,10,-20
30,DL,SFO,LAX,LAX,79,2,42,2
2,AA,SFO,PHX,PHX,-6,2,4,2
2,AA,SFO,PHX,PHX,-7,40,14,40
2,AA,SFO,PHX,PHX,0,4,0,4
2,AA,SFO,PHX,PHX,-9,-9,4,-9
3,AA,SFO,ORD,ORD,-2,28,-1,28
3,AA,SFO,ORD,ORD,4,14,25,14
6,B6,SFO,LAS,LAS,24,-5,2,-5
6,B6,SFO,FLL,FLL,72,-15,0,-15
6,B6,SFO,LAS,LAS,62,-11,-2,-11
6,B6,SFO,FLL,FLL,91,2,15,2
7,AA,SFO,MIA,MIA,-10,2,5,2
7,AA,SFO,LAX,LAX,-4,9,-3,9
7,AA,SFO,LAX,LAX,41,-3,-8,-3
20,DL,SFO,LAX,LAX,66,-2,26,-2
20,DL,SFO,LAX,LAX,128,7,12,7
20,DL,SFO,LAX,LAX,166,-9,-3,-9
20,DL,SFO,LAX,LAX,166,8,29,8
23,B6,SFO,BOS,BOS,101,204,195,204
23,B6,SFO,BOS,BOS,101,260,265,260
23,B6,SFO,BOS,BOS,37,-8,-5,-8
24,DL,SFO,DTW,DTW,10,-16,-4,-16
18,AA,SFO,DFW,DFW,-4,-1,26,-1
19,AS,SFO,SEA,SEA,-3,-31,6,-31
19,AS,SFO,SEA,SEA,-7,-31,6,-31
20,DL,SFO,LAX,LAX,2,0,29,0
20,DL,SFO,LAX,LAX,-1,27,35,27
17,AA,SFO,DFW,DFW,-1,-27,-2,-27
17,AA,SFO,DFW,DFW,-2,-3,17,-3
19,DL,SFO,LAX,LAX,21,-17,16,-17
19,DL,SFO,LAX,LAX,-6,-1,29,-1
19,DL,SFO,LAX,LAX,25,16,36,16
1,AA,SFO,PHX,PHX,-13,32,44,32
1,AA,SFO,PHX,PHX,-6,61,80,61
1,AA,SFO,PHX,PHX,-5,-25,-3,-25
1,AA,SFO,PHX,PHX,-7,-16,0,-16
2,DL,SFO,ATL,ATL,-2,-22,-1,-22
2,DL,SFO,ATL,ATL,-1,90,70,90
2,DL,SFO,ATL,ATL,1,20,32,20
2,DL,SFO,ATL,ATL,-2,-20,-1,-20
5,B6,SFO,LAS,LAS,1,0,-2,0
5,B6,SFO,FLL,FLL,0,-3,-1,-3
